Baby_Id,Level,Prop Time Looking to But (2nd Screen)
15,5,0.6658374793
74,1,0.5134443022
82,9,0.8840736728
87,1,0.5130086724
91,3,0.4289459885
97,3,0.7449725777
101,8,0.8398791541
103,9,0.6348267117
107,3,0.7755102041
110,3,0.4442887176
115,1,0.6278366112
124,9,0.7146529563
125,3,0.7260273973
128,1,0.6645649433
131,6,0.769804287
132,1,0.599137931
138,2,0.8128460687
142,1,0.572666025
